date,inflation,inflation.pcepilfe.yoy,inflation.expectations,exp.ma4,exp.ma4.yoy,exp.ma4.model
1991-04-01,3.0758717778012623,3.4932270071951876,3.4395825285691326,3.493762311877289,3.899932363308656,3.755954389615928
1991-07-01,3.581159012197984,3.3840999991278764,3.5048164736073932,3.3830206797252966,3.7027825362292655,3.6578322585165313
1991-10-01,3.1390117891532956,3.331652479022118,3.47318111944135,3.3316346462902655,3.511313278828032,3.9788261419046997
1992-01-01,3.045620137951029,3.2103986362875148,3.4446948318652266,3.2104156792758927,3.354844530408174,3.8894286031560212
1992-04-01,2.8172429820384335,3.145775057662892,3.317120199806007,3.1457584803351857,3.2679815430251002,3.70740361546566
1992-07-01,2.358424210050978,2.8400599243200375,3.1849732641702913,2.840074779798434,3.1319715243231405,3.6113505696868096
1992-10-01,2.922466257751518,2.7864647833840017,3.1672518578088025,2.7859383969479894,2.9956746004136114,3.533409536302721
1993-01-01,2.7487730323957122,2.7112042295756034,3.2122452530047267,2.7117266205591606,2.8708759987356336,3.4742179167575804
1993-04-01,3.0268180653673666,2.764134533325713,3.2878185088173444,2.7641203913913936,2.775465867651339,3.5199164834680463
1993-07-01,2.2280816302093527,2.731019071192975,3.183435743887072,2.7315347464309876,2.748205654369573,3.513861460472026
1993-10-01,2.054027726396691,2.5139259011000448,2.9554308690889646,2.5144251135922806,2.680070933798584,3.2354912158022344
1994-01-01,1.811026127418448,2.279491429969571,2.6169689371365426,2.2799883873479647,2.572142733897076,2.989228242355108
1994-04-01,2.6805250348848397,2.193919715147352,2.6826342188989587,2.1934151297273328,2.4295890293524858,2.806238901303958
1994-07-01,2.2270029244917873,2.193145453297962,2.6153467741933207,2.1931454532979413,2.2951206248787326,3.2022450954046224
1994-10-01,2.0271653585056884,2.1869290738174563,2.4998697491464963,2.186429861325191,2.2133714180580855,3.03217142983474
1995-01-01,2.092745943033316,2.256870905273445,2.430536497200379,2.256859815228908,2.207716286884054,2.805357106773845
1995-04-01,2.365959273696303,2.178218374931795,2.4699852763146017,2.178218374931774,2.2037909518301646,2.842116580643847
1995-07-01,1.902356229256635,2.0970567011230123,2.3430476293669016,2.0970567011229857,2.179768763786427,3.0812793336562634
1995-10-01,2.002420891627255,2.090392274559072,2.2404645830151444,2.090870584403377,2.155634563971831,2.7978164268079526
1996-01-01,1.569595437755691,1.9600923887827193,2.0108626184539107,1.960082958083971,2.0814399348491497,2.74029804719374
1996-04-01,1.8936296594902016,1.8424747387577156,1.9719345979065372,1.8420005545324458,1.9975040258056298,2.2456863707189925
1996-07-01,1.8224042083030234,1.8220125492939943,1.9313364483015372,1.8220125492940429,1.9287429878483753,2.6547289634746534
1996-10-01,2.2706152643270965,1.8895394523132936,2.1354704566987555,1.8890611424690031,1.8785297822869307,2.7315338127805986
1997-01-01,1.5683318643307897,1.8892216857478772,1.8563918719313177,1.8887452491127779,1.8608121065282202,2.681483195526698
1997-04-01,2.0815893879534304,1.9352609970033186,2.1057448531943783,1.935735181228585,1.884008671089621,2.342028445071147
1997-07-01,0.9309654602746807,1.7133395065828338,1.406186757911942,1.7128754942214994,1.8568404104118308,2.627315834878572
1997-10-01,1.2675303514205352,1.4616417195378872,1.3987116237256336,1.462104265994859,1.7498659772179792,1.8763849816246494
1998-01-01,1.1749880281048086,1.3637683069384288,1.117125058195729,1.3637683069383637,1.618502632515617,2.0652577121568116
1998-04-01,1.2212062671592294,1.1491323084814375,1.1265885738551031,1.1486725267398135,1.4219704603851469,2.4280348276941304
1998-07-01,1.4209606417470801,1.2702491563339358,1.179753554769868,1.2711713221079133,1.3111978728229223,1.7978985394239533
1998-10-01,1.2679864882000218,1.2726613032585377,1.1681763143542978,1.271285356302785,1.263952768753085,2.41009752394335
1999-01-01,1.0071298031157878,1.2288652451326598,1.1400394550944952,1.2293208000555298,1.2302270033016427,2.1222740913624483
1999-04-01,1.3861237915201388,1.2696364203915955,1.2054974031013548,1.2705501811457571,1.2603530312791822,1.4759116503390928
1999-07-01,1.4681908816149343,1.2828158945254131,1.2084664714440367,1.2823577411127207,1.2634947158270515,2.101609732883824
1999-10-01,1.8790181909849588,1.4337520703624484,1.492565502776673,1.4351156668089549,1.3037674076030292,2.183152807916971
