date,exp.model,exp.arima101,exp.arima101.override,spf.cpi1y
2001-04-01,1.9376592544132003,2.2915339551806824,2.2915339551806824,2.5125
2001-07-01,1.649510444690897,1.9382989004823574,1.9382989004823574,2.6
2001-10-01,1.5409733796232588,1.5791088563277929,1.5791088563277929,2.1498
2002-01-01,1.5315294038458511,1.7734130517065156,1.7734130517065156,2.1999
2002-04-01,1.7275380161694,1.6039387802926879,1.6039387802926879,2.3499
2002-07-01,1.7500463858476885,1.8487027147020132,1.8487027147020132,2.2874
2002-10-01,1.8317652157733675,1.9707273093527864,1.9707273093527864,2.1875
2003-01-01,1.6511586509539062,1.787641221938872,1.787641221938872,2.125
2003-04-01,1.5164295343337184,1.6527180000459625,1.6527180000459625,2.0923
2003-07-01,1.5868564372529257,1.6410232733433916,1.6410232733433916,1.8247
2003-10-01,1.6814419148909754,1.7106605768441128,1.7106605768441128,2.125
2004-01-01,1.7743163604383614,1.7374235754524896,1.7374235754524896,1.6274
2004-04-01,1.8380488498074024,1.8648489189046515,1.8648489189046515,2.1318
2004-07-01,1.7962759317955657,1.883782804783873,1.883782804783873,2.3
2004-10-01,1.8051644535428193,1.7051303099559174,1.7051303099559174,2.263
2005-01-01,1.920612556084392,1.787047486230547,1.787047486230547,2.25
2005-04-01,1.899513945600018,1.9729517346711556,1.9729517346711556,2.375
2005-07-01,1.827958811829157,1.8520490164920527,1.8520490164920527,2.4372
2005-10-01,1.8717369153711403,1.7132471392129378,1.7132471392129378,2.393
2006-01-01,1.8822649632119681,1.9063381353836357,1.9063381353836357,2.4295
2006-04-01,2.1625889434776324,1.9644787705548472,1.9644787705548472,2.3865
2006-07-01,2.1581253916769443,2.2782343917961954,2.2782343917961954,2.6283
2006-10-01,2.1401314125878304,2.1517211624835797,2.1517211624835797,2.618
2007-01-01,2.0807928946687815,2.004238687599781,2.004238687599781,2.4563
2007-04-01,1.947448184145578,2.182116894877548,2.182116894877548,2.4341
2007-07-01,1.9657536310692652,2.0335972685823878,2.0335972685823878,2.2285
2007-10-01,2.013254628639121,1.977818405615113,1.977818405615113,2.4424
2008-01-01,2.1007687875088816,2.143719318555361,2.143719318555361,2.3819
2008-04-01,2.106403319901789,2.1064987444712555,2.1064987444712555,2.6651
2008-07-01,1.9642827644190952,1.8865379431123452,1.8865379431123452,2.523
2008-10-01,1.6998569743295147,1.9104503226807044,1.9104503226807044,1.756
2009-01-01,1.7098965589675046,1.6619851120149112,1.6619851120149112,1.5551
2009-04-01,1.4776103342288738,1.8472442344950233,1.8472442344950233,1.7069
2009-07-01,1.6308579076852723,1.8153191675276559,1.8153191675276559,1.8022
2009-10-01,1.8760280505817077,1.8371595188156555,1.8371595188156555,1.6329
2010-01-01,1.7618325970627093,1.9082755928985204,1.9082755928985204,1.7883
2010-04-01,1.8190316546765883,1.7667035359054153,1.7667035359054153,1.8775
2010-07-01,1.6447104310757599,1.8447129526811734,1.8447129526811734,1.7209
2010-10-01,1.637812781331699,1.704478466502645,1.704478466502645,1.609
2011-01-01,1.598339907595363,1.825332901861352,1.825332901861352,1.7247
2011-04-01,1.7514402724192115,1.7550961962004408,1.7550961962004408,2.1304
2011-07-01,1.7683834352089494,1.8511001546669945,1.8511001546669945,2.0125
2011-10-01,1.8150519242463958,1.7663839676213684,1.7663839676213684,1.9692
2012-01-01,1.8978564772926547,1.7826714608639669,1.7826714608639669,2.075
2012-04-01,1.7401820875876413,1.8441017797613282,1.8441017797613282,2.1831
2012-07-01,1.8065638236023265,1.7866952483269214,1.7866952483269214,2.1098
2012-10-01,1.7954824051239455,1.7657291910500512,1.7657291910500512,2.1931
2013-01-01,1.697258847456013,1.7999189225173862,1.7999189225173862,2.1
2013-04-01,1.7138370552113877,1.7704361668038096,1.7704361668038096,2.0414
2013-07-01,1.7541741257794885,1.7676386101794406,1.7676386101794406,1.8626
2013-10-01,1.712230821965011,1.7881927624729808,1.7881927624729808,1.984
2014-01-01,1.683119320914272,1.7732253762572634,1.7732253762572634,1.8881
2014-04-01,1.7580209660852402,1.7339031909281544,1.7339031909281544,1.9583
2014-07-01,1.653166408407792,1.7708323670128792,1.7708323670128792,2.099
2014-10-01,1.6414242233015308,1.7138843150041094,1.7138843150041094,1.9162
2015-01-01,1.5314602241679542,1.7168161647112483,1.7168161647112483,1.8938
2015-04-01,1.6023484381745476,1.4985188722255791,1.4985188722255791,1.9731
2015-07-01,1.4508084808593207,1.7203010131091538,1.7203010131091538,2.0422
2015-10-01,1.5464078653239974,1.6046765227958133,1.6046765227958133,2.0435
2016-01-01,1.5692840428216814,1.6330234352358177,1.6330234352358177,1.9849
2016-04-01,1.577509927916489,1.5848132871652834,1.5848132871652834,2.0574
2016-07-01,1.5785017168465971,1.6125515119577067,1.6125515119577067,2.2276
2016-10-01,1.5787684712073702,1.536521845643164,1.536521845643164,2.2029
2017-01-01,1.596382165196261,1.5620119100844847,1.5620119100844847,2.3596
2017-04-01,1.5003579902656954,1.5488834373943572,1.5488834373943572,2.275
2017-07-01,1.5575040129782587,1.4975879275368973,1.4975879275368973,2.2053
2017-10-01,1.5608161087658505,1.506129803200006,1.506129803200006,2.0907
2018-01-01,1.460427419740097,1.496545637799599,1.496545637799599,2.2117
2018-04-01,1.3007973259960663,1.5330065631583958,1.5330065631583958,2.2597
2018-07-01,1.30732809443416,1.5049715774018413,1.5049715774018413,2.2589
2018-10-01,1.450381803761274,1.427166887306267,1.427166887306267,2.3658
2019-01-01,1.495823759196925,1.5523151306689713,1.5523151306689713,2.2651
2019-04-01,1.511310016430728,1.5631725629844264,1.5631725629844264,2.0855
2019-07-01,1.551096129126265,1.5932854659682807,1.5932854659682807,2.0369
2019-10-01,1.5717088000071184,1.5623158579213046,1.5623158579213046,2.1384
2020-01-01,1.5827508623713025,1.563889690461994,1.563889690461994,2.1582
2020-04-01,1.5494137918438478,1.5711257759324724,1.5711257759324724,1.859
2020-07-01,1.756737235027936,1.440625304734962,1.440625304734962,1.7697
2020-10-01,1.5387106181523262,1.5118782390960488,1.5118782390960488,2.067
2021-01-01,1.516483102248815,1.5618742373195056,1.5618742373195056,2.1546
2021-04-01,0.16534464238697888,1.589780469195679,0.165344642386979,2.3695
2021-07-01,-0.8805047300921216,2.6026404745935356,-0.880504730092122,2.385
2021-10-01,-2.3280432273738754,3.406079615009068,-2.32804322737388,2.6146
2022-01-01,2.9712114817784236,4.172353700864506,4.172353700864506,2.9512
2022-04-01,3.598391920469261,5.061406332677466,5.061406332677466,3.6014
2022-07-01,4.386004824596182,4.486850666877324,4.486850666877324,3.573
2022-10-01,4.57149809424046,4.517611953405937,4.517611953405937,3.5003
2023-01-01,4.2602910934430795,4.2806878474726515,4.2806878474726515,2.9575
2023-04-01,3.7722839489821745,4.225460392749356,4.225460392749356,2.8161
2023-07-01,2.550782618434953,3.7689806416353595,3.7689806416353595,2.6696
2023-10-01,2.0111752984320312,2.7181664531205856,2.7181664531205856,2.5747
2024-01-01,3.161725712754904,2.293663585456857,2.293663585456857,2.3806
2024-04-01,3.0200286414480866,3.1267693239222663,3.1267693239222663,2.5069
2024-07-01,2.144925448990742,2.8322542712249996,2.8322542712249996,2.401
2024-10-01,2.504870803490077,2.4774575883673418,2.4774575883673418,2.3081
2025-01-01,3.1841546449478493,2.5490884055826,2.5490884055826,2.6962
2025-04-01,2.7075503319774112,2.8705145824178007,2.8705145824178007,3.0462
